"","spp","plate","trt","dayGerm","variable","stemLen","day","spptrt","ID","phylo"
"147","chi","P18","cold","1","stem1",0,1,"chicold","chiP18","chi"
"148","sit","P18","cold","1","stem1",0,1,"sitcold","sitP18","sit"
"149","hab","P19","cold","1","stem1",0,1,"habcold","habP19","hab"
"150","per","P19","cold","4","stem1",0,1,"percold","perP19","per"
"151","oid","P19","cold","4","stem1",0,1,"oidcold","oidP19","oid"
"152","chi","P19","cold","0","stem1",5.59841452,1,"chicold","chiP19","chi"
"153","arc","P19","cold","1","stem1",3.811411286,1,"arccold","arcP19","arc"
"154","pim","P19","cold","0","stem1",7.10764577,1,"pimcold","pimP19","pim"
"155","sit","P19","cold","1","stem1",0,1,"sitcold","sitP19","sit"
"156","chm","P19","cold","1","stem1",0,1,"chmcold","chmP19","chm"
"157","sit","P20","cold","1","stem1",0,1,"sitcold","sitP20","sit"
"158","chm","P20","cold","1","stem1",1.981850422,1,"chmcold","chmP20","chm"
"159","chi","P20","cold","1","stem1",1.940335871,1,"chicold","chiP20","chi"
"160","hab","P20","cold","1","stem1",1.931261083,1,"habcold","habP20","hab"
"161","oid","P20","cold","1","stem1",0,1,"oidcold","oidP20","oid"
"162","per","P20","cold","2","stem1",0,1,"percold","perP20","per"
"163","lyc","P20","cold","0","stem1",6.386669448,1,"lyccold","lycP20","lyc"
"164","pim","P20","cold","0","stem1",5.581725253,1,"pimcold","pimP20","pim"
"165","arc","P20","cold","6","stem1",0,1,"arccold","arcP20","arc"
"166","oid","P01","ctrl","2","stem2",11.13484632,2,"oidctrl","oidP01","oid"
"167","chi","P01","ctrl","1","stem2",9.744901161,2,"chictrl","chiP01","chi"
"168","pim","P01","ctrl","0","stem2",12.4230729,2,"pimctrl","pimP01","pim"
"169","arc","P01","ctrl","3","stem2",5.851358385,2,"arcctrl","arcP01","arc"
"170","hab","P01","ctrl","1","stem2",3.556113377,2,"habctrl","habP01","hab"
"171","sit","P01","ctrl","1","stem2",7.208764774,2,"sitctrl","sitP01","sit"
"172","chm","P01","ctrl","0","stem2",12.23512185,2,"chmctrl","chmP01","chm"
"173","chm","P02","ctrl","1","stem2",12.25028763,2,"chmctrl","chmP02","chm"
"174","arc","P02","ctrl","4","stem2",3.851240419,2,"arcctrl","arcP02","arc"
"175","oid","P02","ctrl","3","stem2",34.19111065,2,"oidctrl","oidP02","oid"
"176","sit","P02","ctrl","1","stem2",16.05376007,2,"sitctrl","sitP02","sit"
"177","pim","P02","ctrl","0","stem2",16.87532685,2,"pimctrl","pimP02","pim"
"178","lyc","P02","ctrl","0","stem2",24.19192553,2,"lycctrl","lycP02","lyc"
"179","hab","P02","ctrl","1","stem2",9.860161071,2,"habctrl","habP02","hab"
"180","chi","P02","ctrl","1","stem2",7.243593766,2,"chictrl","chiP02","chi"
"181","lyc","P03","ctrl","2","stem2",4.734671347,2,"lycctrl","lycP03","lyc"
"182","pim","P03","ctrl","0","stem2",12.60464387,2,"pimctrl","pimP03","pim"
"183","chm","P03","ctrl","0","stem2",12.41282293,2,"chmctrl","chmP03","chm"
"184","oid","P03","ctrl","1","stem2",2.465327895,2,"oidctrl","oidP03","oid"
"185","hab","P03","ctrl","1","stem2",7.418157097,2,"habctrl","habP03","hab"
"186","arc","P03","ctrl","11","stem2",9.027367756,2,"arcctrl","arcP03","arc"
"187","chi","P03","ctrl","1","stem2",9.52766447,2,"chictrl","chiP03","chi"
"188","sit","P04","ctrl","1","stem2",7.156782763,2,"sitctrl","sitP04","sit"
"189","per","P04","ctrl","3","stem2",3.091391694,2,"perctrl","perP04","per"
"190","oid","P04","ctrl","2","stem2",0,2,"oidctrl","oidP04","oid"
"191","arc","P04","ctrl","5","stem2",3.335617863,2,"arcctrl","arcP04","arc"
"192","pim","P04","ctrl","0","stem2",12.15793327,2,"pimctrl","pimP04","pim"
"193","chi","P04","ctrl","0","stem2",6.063173308,2,"chictrl","chiP04","chi"
"194","lyc","P04","ctrl","0","stem2",19.76738835,2,"lycctrl","lycP04","lyc"
"195","hab","P04","ctrl","1","stem2",9.289927832,2,"habctrl","habP04","hab"
"196","oid","P05","ctrl","3","stem2",8.373581763,2,"oidctrl","oidP05","oid"
"197","sit","P05","ctrl","1","stem2",11.90555381,2,"sitctrl","sitP05","sit"
"198","chi","P05","ctrl","0","stem2",13.39682042,2,"chictrl","chiP05","chi"
"199","lyc","P05","ctrl","0","stem2",27.14831085,2,"lycctrl","lycP05","lyc"
"200","hab","P05","ctrl","1","stem2",10.65097793,2,"habctrl","habP05","hab"
"201","arc","P05","ctrl","0","stem2",13.72325071,2,"arcctrl","arcP05","arc"
"202","pim","P05","ctrl","0","stem2",12.60704947,2,"pimctrl","pimP05","pim"
"203","per","P05","ctrl","7","stem2",6.523547295,2,"perctrl","perP05","per"
"204","chm","P05","ctrl","1","stem2",18.88693651,2,"chmctrl","chmP05","chm"
"205","oid","P06","ctrl","0","stem2",22.64365652,2,"oidctrl","oidP06","oid"
"206","sit","P06","ctrl","1","stem2",5.663947286,2,"sitctrl","sitP06","sit"
"207","chi","P06","ctrl","0","stem2",7.152180734,2,"chictrl","chiP06","chi"
"208","per","P06","ctrl","0","stem2",6.314506851,2,"perctrl","perP06","per"
"209","lyc","P06","ctrl","0","stem2",19.48404979,2,"lycctrl","lycP06","lyc"
"210","pim","P06","ctrl","0","stem2",25.71436042,2,"pimctrl","pimP06","pim"
"211","hab","P06","ctrl","1","stem2",9.242129484,2,"habctrl","habP06","hab"
"212","lyc","P07","ctrl","1","stem2",11.60338877,2,"lycctrl","lycP07","lyc"
"213","chm","P07","ctrl","0","stem2",12.16148938,2,"chmctrl","chmP07","chm"
"214","hab","P07","ctrl","0","stem2",11.89352578,2,"habctrl","habP07","hab"
"215","pim","P07","ctrl","0","stem2",14.08116306,2,"pimctrl","pimP07","pim"
"216","arc","P07","ctrl","6","stem2",0,2,"arcctrl","arcP07","arc"
"217","sit","P07","ctrl","0","stem2",7.350277168,2,"sitctrl","sitP07","sit"
"218","chi","P07","ctrl","0","stem2",12.82731932,2,"chictrl","chiP07","chi"
"219","per","P07","ctrl","3","stem2",7.762152597,2,"perctrl","perP07","per"
"220","chm","P08","ctrl","1","stem2",11.0620228,2,"chmctrl","chmP08","chm"
"221","pen","P08","ctrl","0","stem2",9.263361573,2,"penctrl","penP08","pen"
"222","hab","P08","ctrl","1","stem2",3.635916745,2,"habctrl","habP08","hab"
"223","sit","P08","ctrl","1","stem2",4.789666353,2,"sitctrl","sitP08","sit"
"224","lyc","P08","ctrl","2","stem2",0,2,"lycctrl","lycP08","lyc"
"225","per","P08","ctrl","1","stem2",11.8721891,2,"perctrl","perP08","per"
"226","oid","P08","ctrl","1","stem2",2.154272566,2,"oidctrl","oidP08","oid"
"227","pim","P08","ctrl","0","stem2",20.19161176,2,"pimctrl","pimP08","pim"
"228","chi","P08","ctrl","0","stem2",7.988494927,2,"chictrl","chiP08","chi"
"229","sit","P09","ctrl","0","stem2",8.84007949,2,"sitctrl","sitP09","sit"
"230","oid","P09","ctrl","3","stem2",20.16040387,2,"oidctrl","oidP09","oid"
"231","pim","P09","ctrl","0","stem2",14.92908692,2,"pimctrl","pimP09","pim"
"232","pen","P09","ctrl","0","stem2",7.430708085,2,"penctrl","penP09","pen"
"233","lyc","P09","ctrl","1","stem2",18.08628805,2,"lycctrl","lycP09","lyc"
"234","chi","P09","ctrl","0","stem2",10.87239828,2,"chictrl","chiP09","chi"
"235","per","P09","ctrl","1","stem2",5.087543144,2,"perctrl","perP09","per"
"236","hab","P09","ctrl","1","stem2",10.93149252,2,"habctrl","habP09","hab"
"237","sit","P10","ctrl","1","stem2",12.73935781,2,"sitctrl","sitP10","sit"
"238","hab","P10","ctrl","1","stem2",10.5446083,2,"habctrl","habP10","hab"
"239","chi","P10","ctrl","0","stem2",13.96098734,2,"chictrl","chiP10","chi"
"240","per","P10","ctrl","3","stem2",9.47892162,2,"perctrl","perP10","per"
"241","pim","P10","ctrl","0","stem2",13.09193599,2,"pimctrl","pimP10","pim"
"242","chm","P10","ctrl","0","stem2",12.76372764,2,"chmctrl","chmP10","chm"
"243","arc","P10","ctrl","0","stem2",14.8920615,2,"arcctrl","arcP10","arc"
"244","oid","P10","ctrl","3","stem2",5.6865827,2,"oidctrl","oidP10","oid"
"245","lyc","P10","ctrl","0","stem2",20.19579542,2,"lycctrl","lycP10","lyc"
"246","pen","P10","ctrl","1","stem2",8.54628177,2,"penctrl","penP10","pen"
"247","chi","P11","cold","0","stem2",3.969563853,2,"chicold","chiP11","chi"
"248","chm","P11","cold","1","stem2",6.42704738,2,"chmcold","chmP11","chm"
"249","pim","P11","cold","0","stem2",8.827737684,2,"pimcold","pimP11","pim"
"250","hab","P11","cold","1","stem2",0.910469616,2,"habcold","habP11","hab"
"251","lyc","P11","cold","5","stem2",0,2,"lyccold","lycP11","lyc"
"252","sit","P11","cold","1","stem2",3.521284384,2,"sitcold","sitP11","sit"
"253","per","P11","cold","4","stem2",0,2,"percold","perP11","per"
"254","arc","P11","cold","0","stem2",4.543353206,2,"arccold","arcP11","arc"
"255","oid","P11","cold","2","stem2",1.925468426,2,"oidcold","oidP11","oid"
"256","lyc","P12","cold","0","stem2",12.91590838,2,"lyccold","lycP12","lyc"
"257","oid","P12","cold","7","stem2",0.825814752,2,"oidcold","oidP12","oid"
"258","pen","P12","cold","1","stem2",7.86539065,2,"pencold","penP12","pen"
"259","hab","P12","cold","1","stem2",0,2,"habcold","habP12","hab"
"260","chm","P12","cold","1","stem2",3.25384374,2,"chmcold","chmP12","chm"
"261","per","P12","cold","3","stem2",1.070053086,2,"percold","perP12","per"
"262","sit","P12","cold","1","stem2",2.809643343,2,"sitcold","sitP12","sit"
"263","chi","P12","cold","1","stem2",1.15521389,2,"chicold","chiP12","chi"
"264","pim","P13","cold","0","stem2",7.5136492,2,"pimcold","pimP13","pim"
"265","oid","P13","cold","3","stem2",0,2,"oidcold","oidP13","oid"
"266","hab","P13","cold","1","stem2",3.319631838,2,"habcold","habP13","hab"
"267","arc","P13","cold","1","stem2",4.158142454,2,"arccold","arcP13","arc"
"268","chi","P13","cold","0","stem2",5.280619182,2,"chicold","chiP13","chi"
"269","sit","P13","cold","1","stem2",5.176236795,2,"sitcold","sitP13","sit"
"270","lyc","P13","cold","5","stem2",1.846883256,2,"lyccold","lycP13","lyc"
"271","chm","P13","cold","1","stem2",1.599937245,2,"chmcold","chmP13","chm"
"272","chm","P14","cold","1","stem2",2.699299236,2,"chmcold","chmP14","chm"
"273","hab","P14","cold","1","stem2",2.063068717,2,"habcold","habP14","hab"
"274","oid","P14","cold","6","stem2",0,2,"oidcold","oidP14","oid"
"275","arc","P14","cold","1","stem2",4.208764774,2,"arccold","arcP14","arc"
"276","per","P14","cold","0","stem2",5.766028658,2,"percold","perP14","per"
"277","chi","P14","cold","0","stem2",5.334170066,2,"chicold","chiP14","chi"
"278","pim","P14","cold","0","stem2",10.36178224,2,"pimcold","pimP14","pim"
"279","sit","P14","cold","1","stem2",1.862148311,2,"sitcold","sitP14","sit"
"280","lyc","P14","cold","6","stem2",0,2,"lyccold","lycP14","lyc"
"281","chm","P15","cold","0","stem2",4.792281142,2,"chmcold","chmP15","chm"
"282","arc","P15","cold","0","stem2",4.907541052,2,"arccold","arcP15","arc"
"283","per","P15","cold","1","stem2",0,2,"percold","perP15","per"
"284","sit","P15","cold","1","stem2",2.523689991,2,"sitcold","sitP15","sit"
"285","hab","P15","cold","1","stem2",3.92605376,2,"habcold","habP15","hab"
"286","chi","P15","cold","1","stem2",4.848551407,2,"chicold","chiP15","chi"
"287","lyc","P15","cold","0","stem2",10.53289405,2,"lyccold","lycP15","lyc"
"288","pim","P15","cold","1","stem2",2.588013806,2,"pimcold","pimP15","pim"
"289","oid","P15","cold","1","stem2",0,2,"oidcold","oidP15","oid"
"290","chi","P16","cold","1","stem2",3.592615835,2,"chicold","chiP16","chi"
"291","per","P16","cold","4","stem2",1.17537729,2,"percold","perP16","per"
"292","oid","P16","cold","3","stem2",0,2,"oidcold","oidP16","oid"
"293","pim","P16","cold","0","stem2",7.356761845,2,"pimcold","pimP16","pim"
"294","chm","P16","cold","1","stem2",3.241083569,2,"chmcold","chmP16","chm"
"295","sit","P16","cold","1","stem2",2.84279887,2,"sitcold","sitP16","sit"
"296","arc","P16","cold","1","stem2",6.998954084,2,"arccold","arcP16","arc"
"297","hab","P16","cold","1","stem2",3.369522017,2,"habcold","habP16","hab"
"298","lyc","P16","cold","0","stem2",12.8362096,2,"lyccold","lycP16","lyc"
"299","chi","P17","cold","1","stem2",1.403200502,2,"chicold","chiP17","chi"
"300","sit","P17","cold","1","stem2",5.137956281,2,"sitcold","sitP17","sit"
"301","chm","P17","cold","1","stem2",6.396088275,2,"chmcold","chmP17","chm"
"302","arc","P17","cold","1","stem2",1.896454346,2,"arccold","arcP17","arc"
"303","oid","P17","cold","2","stem2",0,2,"oidcold","oidP17","oid"
"304","hab","P17","cold","1","stem2",2.372764355,2,"habcold","habP17","hab"
"305","pim","P17","cold","1","stem2",3.473486037,2,"pimcold","pimP17","pim"
"306","pim","P18","cold","0","stem2",11.37883067,2,"pimcold","pimP18","pim"
"307","arc","P18","cold","1","stem2",4.282397239,2,"arccold","arcP18","arc"
"308","oid","P18","cold","1","stem2",0,2,"oidcold","oidP18","oid"
"309","hab","P18","cold","1","stem2",0,2,"habcold","habP18","hab"
"310","pen","P18","cold","1","stem2",0,2,"pencold","penP18","pen"
"311","chm","P18","cold","0","stem2",3.42370045,2,"chmcold","chmP18","chm"
"312","chi","P18","cold","1","stem2",1.371823031,2,"chicold","chiP18","chi"
"313","sit","P18","cold","1","stem2",0,2,"sitcold","sitP18","sit"
"314","hab","P19","cold","1","stem2",0,2,"habcold","habP19","hab"
"315","per","P19","cold","4","stem2",1.859396219,2,"percold","perP19","per"
"316","oid","P19","cold","4","stem2",1.246528661,2,"oidcold","oidP19","oid"
"317","chi","P19","cold","0","stem2",6.940382805,2,"chicold","chiP19","chi"
"318","arc","P19","cold","1","stem2",4.309277272,2,"arccold","arcP19","arc"
"319","pim","P19","cold","0","stem2",7.756929192,2,"pimcold","pimP19","pim"
"320","sit","P19","cold","1","stem2",1.81414078,2,"sitcold","sitP19","sit"
"321","chm","P19","cold","1","stem2",4.196422968,2,"chmcold","chmP19","chm"
"322","sit","P20","cold","1","stem2",0,2,"sitcold","sitP20","sit"
"323","chm","P20","cold","1","stem2",3.050831503,2,"chmcold","chmP20","chm"
"324","chi","P20","cold","1","stem2",6.524526723,2,"chicold","chiP20","chi"
"325","hab","P20","cold","1","stem2",4.105009936,2,"habcold","habP20","hab"
"326","oid","P20","cold","1","stem2",0,2,"oidcold","oidP20","oid"
"327","per","P20","cold","2","stem2",0,2,"percold","perP20","per"
"328","lyc","P20","cold","0","stem2",7.75483736,2,"lyccold","lycP20","lyc"
"329","pim","P20","cold","0","stem2",5.780043928,2,"pimcold","pimP20","pim"
"330","arc","P20","cold","6","stem2",0,2,"arccold","arcP20","arc"
"331","oid","P01","ctrl","2","stem3",19.15093161,3,"oidctrl","oidP01","oid"
"332","chi","P01","ctrl","1","stem3",10.74031642,3,"chictrl","chiP01","chi"
"333","pim","P01","ctrl","0","stem3",18.38875986,3,"pimctrl","pimP01","pim"
"334","arc","P01","ctrl","3","stem3",11.58230006,3,"arcctrl","arcP01","arc"
"335","hab","P01","ctrl","1","stem3",8.912647246,3,"habctrl","habP01","hab"
"336","sit","P01","ctrl","1","stem3",8.444793934,3,"sitctrl","sitP01","sit"
"337","chm","P01","ctrl","0","stem3",13.5744118,3,"chmctrl","chmP01","chm"
